Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, Fibonacci, -1,1383.380920410156250000, 1280.075073242187500000,  ,  , 64544, 55.0, 1536
C, Fibonacci, -1,1356.762329101562500000, 1253.668640136718750000,  ,  , 64747, 53.5, 1536
C, Fibonacci, -1,1339.309082031250000000, 1236.177307128906250000,  ,  , 64811, 53.5, 1536
C, Fibonacci, -1,1323.610839843750000000, 1220.758361816406250000,  ,  , 64325, 50.0, 1536
C, Fibonacci, -1,1340.970703125000000000, 1238.158325195312500000,  ,  , 64286, 49.3, 1536
C, Fibonacci, -1,1369.737976074218750000, 1267.469787597656250000,  ,  , 64178, 53.7, 1536
C, Fibonacci, -1,1328.104492187500000000, 1225.315917968750000000,  ,  , 64466, 50.0, 1536
C, Fibonacci, -1,1334.054931640625000000, 1228.319824218750000000,  ,  , 64700, 50.3, 1536
C, Fibonacci, -1,1395.364501953125000000, 1292.338439941406250000,  ,  , 64418, 57.2, 1536
C, Fibonacci, -1,1388.630798339843750000, 1285.114196777343750000,  ,  , 64875, 55.0, 1536
