Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
C, fluidanimate, -1,11.024353027343750000, 10.255187988281250000,  ,  , 450, 52.7, 53280
C, fluidanimate, -1,11.752990722656250000, 10.975158691406250000,  ,  , 447, 52.7, 53412
C, fluidanimate, -1,10.938781738281250000, 10.136535644531250000,  ,  , 449, 53.2, 53184
C, fluidanimate, -1,11.177185058593750000, 10.407836914062500000,  ,  , 450, 42.5, 53440
C, fluidanimate, -1,11.298400878906250000, 10.516113281250000000,  ,  , 449, 42.5, 53588
C, fluidanimate, -1,11.301086425781250000, 10.527038574218750000,  ,  , 448, 54.3, 53344
C, fluidanimate, -1,11.294982910156250000, 10.515075683593750000,  ,  , 450, 42.5, 53340
C, fluidanimate, -1,11.322937011718750000, 10.556579589843750000,  ,  , 444, 42.5, 53384
C, fluidanimate, -1,11.249267578125000000, 10.464294433593750000,  ,  , 452, 53.2, 53396
C, fluidanimate, -1,11.388610839843750000, 10.630371093750000000,  ,  , 452, 42.7, 53376
