Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Java, kafka, -1,320.893981933593750000, 298.053344726562500000,  ,  , 10536, 56.0, 804176
Java, kafka, -1,317.594421386718750000, 293.215576171875000000,  ,  , 11460, 56.2, 825368
Java, kafka, -1,311.727111816406250000, 289.176513671875000000,  ,  , 10362, 55.5, 772872
Java, kafka, -1,324.935974121093750000, 299.737854003906250000,  ,  , 11887, 56.8, 735824
Java, kafka, -1,321.829040527343750000, 296.494201660156250000,  ,  , 11983, 55.7, 801576
Java, kafka, -1,309.701538085937500000, 286.837707519531250000,  ,  , 10489, 55.2, 745716
Java, kafka, -1,306.329284667968750000, 283.882568359375000000,  ,  , 10376, 55.7, 795412
Java, kafka, -1,314.502502441406250000, 291.921264648437500000,  ,  , 10451, 55.3, 797072
Java, kafka, -1,323.326293945312500000, 299.167175292968750000,  ,  , 11282, 55.8, 776936
Java, kafka, -1,324.477233886718750000, 300.398193359375000000,  ,  , 11253, 56.8, 882664
