Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Python, django_template, -1,533.029907226562500000, 495.105407714843750000,  ,  , 20532, 59.2, 46508
Python, django_template, -1,540.707580566406250000, 502.466247558593750000,  ,  , 20624, 59.0, 46644
Python, django_template, -1,523.403564453125000000, 485.231689453125000000,  ,  , 20706, 59.5, 46652
Python, django_template, -1,532.381164550781250000, 494.290527343750000000,  ,  , 20649, 58.8, 46652
Python, django_template, -1,530.066406250000000000, 491.769226074218750000,  ,  , 20721, 59.0, 46640
Python, django_template, -1,526.292907714843750000, 487.813049316406250000,  ,  , 20835, 58.7, 46524
Python, django_template, -1,537.484436035156250000, 499.782958984375000000,  ,  , 20382, 60.7, 46640
Python, django_template, -1,520.930847167968750000, 482.850219726562500000,  ,  , 20664, 58.5, 46648
Python, django_template, -1,532.106506347656250000, 494.221801757812500000,  ,  , 20524, 59.7, 46652
Python, django_template, -1,535.780578613281250000, 497.730041503906250000,  ,  , 20621, 61.3, 46520
