Language, Program, PowerLimit, Package, Core(s), GPU, DRAM, Time (ms), Temperature, Memory
Rust, SieveOfEratosthenes, 20,0.096130371093750000, 0.098449707031250000,  ,  , 4, 39.5, 2048
Rust, SieveOfEratosthenes, 20,0.117065429687500000, 0.098999023437500000,  ,  , 4, 39.5, 2048
Rust, SieveOfEratosthenes, 20,0.114990234375000000, 0.096252441406250000,  ,  , 4, 39.5, 2048
Rust, SieveOfEratosthenes, 20,0.116760253906250000, 0.103759765625000000,  ,  , 5, 39.5, 2048
Rust, SieveOfEratosthenes, 20,0.109497070312500000, 0.093078613281250000,  ,  , 4, 39.5, 1920
Rust, SieveOfEratosthenes, 20,0.115539550781250000, 0.099975585937500000,  ,  , 4, 39.5, 2048
Rust, SieveOfEratosthenes, 20,0.118408203125000000, 0.102844238281250000,  ,  , 4, 39.5, 2048
Rust, SieveOfEratosthenes, 20,0.119018554687500000, 0.102172851562500000,  ,  , 4, 39.5, 2048
Rust, SieveOfEratosthenes, 20,0.119812011718750000, 0.101501464843750000,  ,  , 4, 38.2, 2048
Rust, SieveOfEratosthenes, 20,0.120239257812500000, 0.109985351562500000,  ,  , 5, 38.2, 2048
