Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, blackscholes, -1,10.581115722656250000, 9.909851074218750000,  ,  , 435, 38.0, 53284
C, blackscholes, -1,10.491271972656250000, 9.792541503906250000,  ,  , 436, 50.2, 53176
C, blackscholes, -1,10.908935546875000000, 10.207580566406250000,  ,  , 434, 37.8, 53604
C, blackscholes, -1,10.552307128906250000, 9.865295410156250000,  ,  , 435, 49.5, 52872
C, blackscholes, -1,10.673583984375000000, 9.980529785156250000,  ,  , 433, 38.2, 53016
C, blackscholes, -1,10.585205078125000000, 9.881286621093750000,  ,  , 439, 50.3, 53296
C, blackscholes, -1,10.747070312500000000, 10.052429199218750000,  ,  , 438, 38.0, 53324
C, blackscholes, -1,10.190307617187500000, 9.520507812500000000,  ,  , 435, 49.7, 52996
C, blackscholes, -1,10.886962890625000000, 10.182189941406250000,  ,  , 437, 38.3, 53388
C, blackscholes, -1,10.505371093750000000, 9.791015625000000000,  ,  , 437, 49.2, 52872
C, canneal, -1,13.747619628906250000, 12.875732421875000000,  ,  , 532, 38.2, 53236
C, canneal, -1,13.699401855468750000, 12.832275390625000000,  ,  , 539, 47.3, 53024
C, canneal, -1,13.542663574218750000, 12.666320800781250000,  ,  , 538, 38.3, 53296
C, canneal, -1,13.306762695312500000, 12.446105957031250000,  ,  , 536, 50.7, 53300
C, canneal, -1,14.431701660156250000, 13.527099609375000000,  ,  , 543, 39.0, 53000
C, canneal, -1,13.249145507812500000, 12.398498535156250000,  ,  , 531, 50.5, 53328
C, canneal, -1,13.829162597656250000, 12.965148925781250000,  ,  , 534, 39.2, 53016
C, canneal, -1,13.132873535156250000, 12.289428710937500000,  ,  , 528, 51.0, 52796
C, canneal, -1,13.661254882812500000, 12.775939941406250000,  ,  , 539, 39.0, 53356
C, canneal, -1,13.220703125000000000, 12.369323730468750000,  ,  , 529, 47.2, 53240
C, streamcluster, -1,10.500366210937500000, 9.837219238281250000,  ,  , 425, 38.8, 53184
C, streamcluster, -1,10.509887695312500000, 9.839050292968750000,  ,  , 434, 50.2, 52984
C, streamcluster, -1,10.701416015625000000, 10.027343750000000000,  ,  , 431, 39.3, 52968
C, streamcluster, -1,10.581787109375000000, 9.891235351562500000,  ,  , 437, 50.7, 53176
C, streamcluster, -1,10.450134277343750000, 9.757812500000000000,  ,  , 432, 39.0, 53092
C, streamcluster, -1,10.463195800781250000, 9.764648437500000000,  ,  , 437, 49.8, 53256
C, streamcluster, -1,10.692871093750000000, 10.005187988281250000,  ,  , 441, 39.3, 53248
C, streamcluster, -1,10.224060058593750000, 9.547058105468750000,  ,  , 433, 51.3, 52960
C, streamcluster, -1,10.607177734375000000, 9.951904296875000000,  ,  , 425, 39.3, 53328
C, streamcluster, -1,10.425659179687500000, 9.739929199218750000,  ,  , 432, 50.5, 53056
C, swaptions, -1,10.449401855468750000, 9.802001953125000000,  ,  , 420, 39.3, 53196
C, swaptions, -1,10.050109863281250000, 9.365539550781250000,  ,  , 432, 50.7, 53072
C, swaptions, -1,10.385192871093750000, 9.711120605468750000,  ,  , 433, 39.3, 53320
C, swaptions, -1,10.313842773437500000, 9.628662109375000000,  ,  , 434, 50.0, 53396
C, swaptions, -1,10.541931152343750000, 9.859619140625000000,  ,  , 422, 39.3, 53156
C, swaptions, -1,10.713684082031250000, 10.021789550781250000,  ,  , 437, 51.5, 53392
C, swaptions, -1,10.618896484375000000, 9.945678710937500000,  ,  , 432, 39.7, 53116
C, swaptions, -1,10.479064941406250000, 9.787292480468750000,  ,  , 434, 51.0, 52992
C, swaptions, -1,10.566772460937500000, 9.871398925781250000,  ,  , 433, 40.5, 53104
C, swaptions, -1,10.270874023437500000, 9.595642089843750000,  ,  , 435, 51.5, 53312
C, freqmine, -1,10.704833984375000000, 10.001525878906250000,  ,  , 442, 39.5, 53068
C, freqmine, -1,10.749267578125000000, 10.061218261718750000,  ,  , 432, 52.8, 53604
C, freqmine, -1,10.589172363281250000, 9.888061523437500000,  ,  , 444, 39.7, 53428
C, freqmine, -1,10.527221679687500000, 9.839172363281250000,  ,  , 441, 51.3, 53184
C, freqmine, -1,11.509460449218750000, 10.798095703125000000,  ,  , 448, 39.7, 52796
C, freqmine, -1,11.035522460937500000, 10.298645019531250000,  ,  , 445, 55.0, 53368
C, freqmine, -1,11.027709960937500000, 10.323791503906250000,  ,  , 443, 39.7, 53396
C, freqmine, -1,10.488830566406250000, 9.795471191406250000,  ,  , 440, 51.2, 53400
C, freqmine, -1,10.875000000000000000, 10.149230957031250000,  ,  , 444, 39.8, 53136
C, freqmine, -1,10.638610839843750000, 9.936096191406250000,  ,  , 447, 51.3, 53184
C, fluidanimate, -1,10.881896972656250000, 10.168640136718750000,  ,  , 439, 39.8, 53400
C, fluidanimate, -1,10.895874023437500000, 10.191162109375000000,  ,  , 449, 51.0, 53576
C, fluidanimate, -1,10.923278808593750000, 10.219543457031250000,  ,  , 449, 39.8, 52904
C, fluidanimate, -1,10.562255859375000000, 9.859558105468750000,  ,  , 447, 51.7, 53160
C, fluidanimate, -1,10.960937500000000000, 10.223266601562500000,  ,  , 441, 40.0, 53424
C, fluidanimate, -1,10.940795898437500000, 10.216064453125000000,  ,  , 449, 52.0, 53436
C, fluidanimate, -1,11.059631347656250000, 10.338500976562500000,  ,  , 449, 39.7, 53156
C, fluidanimate, -1,10.877441406250000000, 10.176025390625000000,  ,  , 440, 52.5, 53116
C, fluidanimate, -1,10.809509277343750000, 10.096435546875000000,  ,  , 449, 40.0, 53212
C, fluidanimate, -1,10.564086914062500000, 9.873474121093750000,  ,  , 441, 51.7, 53428
C, blackscholes, 1,5.915161132812500000, 2.750244140625000000,  ,  , 2064, 38.5, 53124
C, blackscholes, 1,6.445129394531250000, 3.212097167968750000,  ,  , 2089, 38.3, 52896
C, blackscholes, 1,5.794372558593750000, 2.643127441406250000,  ,  , 2059, 38.0, 53128
C, blackscholes, 1,5.839965820312500000, 2.686035156250000000,  ,  , 2063, 37.8, 53304
C, blackscholes, 1,5.536132812500000000, 2.388061523437500000,  ,  , 2063, 37.7, 52896
C, blackscholes, 1,5.629638671875000000, 2.470764160156250000,  ,  , 2060, 37.8, 53348
C, blackscholes, 1,5.656982421875000000, 2.517700195312500000,  ,  , 2054, 37.8, 53292
C, blackscholes, 1,5.601745605468750000, 2.445251464843750000,  ,  , 2065, 37.5, 53288
C, blackscholes, 1,5.533020019531250000, 2.394653320312500000,  ,  , 2053, 37.8, 53008
C, blackscholes, 1,5.751770019531250000, 2.589599609375000000,  ,  , 2068, 37.3, 53512
C, canneal, 1,7.032104492187500000, 3.104431152343750000,  ,  , 2569, 37.3, 53256
C, canneal, 1,7.148864746093750000, 3.222595214843750000,  ,  , 2562, 37.2, 53424
C, canneal, 1,7.191284179687500000, 3.266479492187500000,  ,  , 2563, 37.2, 53348
C, canneal, 1,6.942138671875000000, 3.005371093750000000,  ,  , 2567, 37.0, 53096
C, canneal, 1,7.152832031250000000, 3.217468261718750000,  ,  , 2559, 36.8, 53420
C, canneal, 1,7.058715820312500000, 3.129577636718750000,  ,  , 2562, 37.0, 53448
C, canneal, 1,6.948486328125000000, 3.019104003906250000,  ,  , 2558, 37.0, 53192
C, canneal, 1,7.082275390625000000, 3.116760253906250000,  ,  , 2583, 36.7, 53336
C, canneal, 1,6.949707031250000000, 3.020263671875000000,  ,  , 2558, 36.8, 53160
C, canneal, 1,6.981506347656250000, 3.000549316406250000,  ,  , 2592, 36.5, 53100
C, streamcluster, 1,5.640686035156250000, 2.473815917968750000,  ,  , 2060, 36.5, 53424
C, streamcluster, 1,5.641723632812500000, 2.448486328125000000,  ,  , 2077, 36.7, 53448
C, streamcluster, 1,5.658874511718750000, 2.506896972656250000,  ,  , 2051, 36.7, 53268
C, streamcluster, 1,5.700805664062500000, 2.553161621093750000,  ,  , 2049, 36.5, 53452
C, streamcluster, 1,5.564514160156250000, 2.400024414062500000,  ,  , 2062, 36.8, 53444
C, streamcluster, 1,5.662597656250000000, 2.415893554687500000,  ,  , 2116, 36.3, 53340
C, streamcluster, 1,5.577758789062500000, 2.420104980468750000,  ,  , 2052, 36.5, 53188
C, streamcluster, 1,5.560607910156250000, 2.381896972656250000,  ,  , 2068, 36.3, 53416
C, streamcluster, 1,5.689392089843750000, 2.487854003906250000,  ,  , 2087, 36.5, 53316
C, streamcluster, 1,5.607604980468750000, 2.448974609375000000,  ,  , 2062, 36.3, 53188
C, swaptions, 1,5.685729980468750000, 2.525817871093750000,  ,  , 2053, 36.2, 53280
C, swaptions, 1,5.548828125000000000, 2.389953613281250000,  ,  , 2052, 36.0, 53352
C, swaptions, 1,5.627441406250000000, 2.472656250000000000,  ,  , 2053, 36.2, 53472
C, swaptions, 1,5.635009765625000000, 2.467285156250000000,  ,  , 2057, 36.2, 53156
C, swaptions, 1,5.690307617187500000, 2.511901855468750000,  ,  , 2061, 35.8, 53400
C, swaptions, 1,5.809753417968750000, 2.640075683593750000,  ,  , 2059, 36.0, 53568
C, swaptions, 1,5.762451171875000000, 2.604003906250000000,  ,  , 2054, 35.8, 53464
C, swaptions, 1,5.675781250000000000, 2.514587402343750000,  ,  , 2056, 35.8, 53532
C, swaptions, 1,5.731506347656250000, 2.556640625000000000,  ,  , 2064, 36.3, 53432
C, swaptions, 1,5.589965820312500000, 2.402954101562500000,  ,  , 2070, 36.0, 53428
C, freqmine, 1,5.909301757812500000, 2.693664550781250000,  ,  , 2096, 35.7, 53272
C, freqmine, 1,5.884704589843750000, 2.669128417968750000,  ,  , 2096, 35.8, 53428
C, freqmine, 1,5.889770507812500000, 2.669860839843750000,  ,  , 2093, 35.8, 53200
C, freqmine, 1,5.898620605468750000, 2.694335937500000000,  ,  , 2085, 36.2, 53456
C, freqmine, 1,5.798400878906250000, 2.575927734375000000,  ,  , 2097, 35.7, 53592
C, freqmine, 1,5.734130859375000000, 2.523010253906250000,  ,  , 2095, 36.0, 53288
C, freqmine, 1,5.723205566406250000, 2.505371093750000000,  ,  , 2093, 35.5, 53096
C, freqmine, 1,5.699462890625000000, 2.472534179687500000,  ,  , 2097, 35.7, 53328
C, freqmine, 1,5.668884277343750000, 2.460083007812500000,  ,  , 2086, 36.0, 53004
C, freqmine, 1,5.736328125000000000, 2.507263183593750000,  ,  , 2102, 35.8, 53300
C, fluidanimate, 1,5.849792480468750000, 2.590698242187500000,  ,  , 2117, 35.5, 53480
C, fluidanimate, 1,5.910156250000000000, 2.639221191406250000,  ,  , 2123, 35.7, 52928
C, fluidanimate, 1,5.775268554687500000, 2.504516601562500000,  ,  , 2127, 35.8, 52936
C, fluidanimate, 1,5.922424316406250000, 2.648498535156250000,  ,  , 2131, 35.8, 53060
C, fluidanimate, 1,5.893737792968750000, 2.627075195312500000,  ,  , 2122, 35.8, 53096
C, fluidanimate, 1,5.856872558593750000, 2.583984375000000000,  ,  , 2128, 35.2, 53400
C, fluidanimate, 1,5.868347167968750000, 2.615783691406250000,  ,  , 2118, 35.7, 53632
C, fluidanimate, 1,5.823303222656250000, 2.557189941406250000,  ,  , 2124, 35.7, 53544
C, fluidanimate, 1,5.875427246093750000, 2.635620117187500000,  ,  , 2109, 35.7, 53276
C, fluidanimate, 1,5.912231445312500000, 2.620544433593750000,  ,  , 2143, 35.8, 53176
C, blackscholes, 2,5.807617187500000000, 2.628173828125000000,  ,  , 2064, 35.5, 53564
C, blackscholes, 2,5.768188476562500000, 2.600585937500000000,  ,  , 2062, 35.3, 53412
C, blackscholes, 2,5.825195312500000000, 2.638549804687500000,  ,  , 2073, 35.2, 52844
C, blackscholes, 2,5.884521484375000000, 2.690979003906250000,  ,  , 2079, 35.3, 53644
C, blackscholes, 2,5.835510253906250000, 2.651062011718750000,  ,  , 2074, 35.5, 53080
C, blackscholes, 2,5.872070312500000000, 2.689514160156250000,  ,  , 2075, 35.5, 53320
C, blackscholes, 2,5.804809570312500000, 2.631774902343750000,  ,  , 2065, 35.7, 53312
C, blackscholes, 2,5.807128906250000000, 2.620849609375000000,  ,  , 2071, 35.5, 53296
C, blackscholes, 2,5.918762207031250000, 2.741638183593750000,  ,  , 2068, 35.2, 53112
C, blackscholes, 2,5.891723632812500000, 2.702453613281250000,  ,  , 2077, 35.3, 53564
C, canneal, 2,7.014831542968750000, 3.065429687500000000,  ,  , 2564, 35.3, 53288
C, canneal, 2,7.108642578125000000, 3.164916992187500000,  ,  , 2559, 34.8, 53416
C, canneal, 2,7.320861816406250000, 3.370483398437500000,  ,  , 2559, 35.5, 53228
C, canneal, 2,7.186218261718750000, 3.232971191406250000,  ,  , 2562, 35.0, 53464
C, canneal, 2,7.149902343750000000, 3.199584960937500000,  ,  , 2562, 34.7, 53020
