C, facesim, -1, error, error, error, error, error, error, error
C, swaptions, -1,12.851562500000000000, 11.384643554687500000,  ,  , 450, 52.5, 53280
C, swaptions, -1,15.654602050781250000, 13.848815917968750000,  ,  , 480, 59.3, 53628
C, swaptions, -1,16.647216796875000000, 14.889099121093750000,  ,  , 547, 57.2, 53448
C, swaptions, -1,12.987731933593750000, 11.733398437500000000,  ,  , 446, 62.7, 53208
C, swaptions, -1,13.458312988281250000, 12.083374023437500000,  ,  , 456, 56.2, 53528
C, swaptions, -1,13.910644531250000000, 12.475280761718750000,  ,  , 457, 60.7, 53548
C, swaptions, -1,14.556457519531250000, 12.953125000000000000,  ,  , 499, 56.5, 53232
C, swaptions, -1,14.950866699218750000, 13.339233398437500000,  ,  , 486, 61.8, 53404
C, swaptions, -1,14.751159667968750000, 13.054687500000000000,  ,  , 470, 54.8, 53892
C, swaptions, -1,15.219787597656250000, 13.531982421875000000,  ,  , 474, 64.0, 53316
C, x264, -1, error, error, error, error, error, error, error
CPP, facesim, -1, error, error, error, error, error, error, error
CPP, swaptions, -1,12.932434082031250000, 11.872802734375000000,  ,  , 455, 58.3, 53944
CPP, swaptions, -1,15.050292968750000000, 13.812316894531250000,  ,  , 484, 62.8, 53684
CPP, swaptions, -1,21.141113281250000000, 19.316345214843750000,  ,  , 529, 54.2, 53400
CPP, swaptions, -1,15.505004882812500000, 14.163269042968750000,  ,  , 506, 61.8, 53472
CPP, swaptions, -1,20.441040039062500000, 18.660217285156250000,  ,  , 522, 53.2, 53520
CPP, swaptions, -1,13.033447265625000000, 11.984436035156250000,  ,  , 450, 65.2, 53400
CPP, swaptions, -1,19.952819824218750000, 18.198730468750000000,  ,  , 523, 54.2, 54040
CPP, swaptions, -1,15.333435058593750000, 14.050231933593750000,  ,  , 517, 65.5, 53296
CPP, swaptions, -1,15.103759765625000000, 13.795532226562500000,  ,  , 489, 58.0, 54000
CPP, swaptions, -1,13.743041992187500000, 12.590332031250000000,  ,  , 458, 65.2, 53260
CPP, x264, -1, error, error, error, error, error, error, error
