Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
C, Fibonacci, 1,955.900268554687500000, 385.240173339843750000,  ,  , 359926, 29.3, 1536
C, Fibonacci, 1,927.620788574218750000, 357.066528320312500000,  ,  , 359784, 29.7, 1536
C, Fibonacci, 1,923.572998046875000000, 352.917907714843750000,  ,  , 359778, 29.5, 1536
C, Fibonacci, 1,917.393676757812500000, 347.259155273437500000,  ,  , 359913, 29.8, 1536
C, Fibonacci, 1,923.014038085937500000, 352.323791503906250000,  ,  , 359859, 29.8, 1536
C, Fibonacci, 1,902.352172851562500000, 331.933593750000000000,  ,  , 359940, 30.0, 1536
C, Fibonacci, 1,900.489501953125000000, 330.291931152343750000,  ,  , 359845, 29.8, 1536
C, Fibonacci, 1,927.928527832031250000, 357.380676269531250000,  ,  , 359877, 30.2, 1536
C, Fibonacci, 1,912.559875488281250000, 342.290832519531250000,  ,  , 359903, 30.2, 1536
C, Fibonacci, 1,880.411437988281250000, 310.723449707031250000,  ,  , 359704, 30.2, 1536
C, Fibonacci, 2,868.423583984375000000, 298.752563476562500000,  ,  , 359915, 30.2, 1536
C, Fibonacci, 2,887.507812500000000000, 317.776611328125000000,  ,  , 359773, 30.5, 1536
C, Fibonacci, 2,862.352478027343750000, 292.961181640625000000,  ,  , 359693, 30.5, 1536
C, Fibonacci, 2,866.612548828125000000, 297.099975585937500000,  ,  , 359790, 30.2, 1536
C, Fibonacci, 2,874.714355468750000000, 304.804870605468750000,  ,  , 359857, 30.2, 1536
C, Fibonacci, 2,870.772033691406250000, 301.245117187500000000,  ,  , 359674, 30.0, 1536
C, Fibonacci, 2,879.287719726562500000, 309.456787109375000000,  ,  , 359908, 30.2, 1536
C, Fibonacci, 2,886.985046386718750000, 317.113159179687500000,  ,  , 359865, 30.2, 1536
C, Fibonacci, 2,884.420043945312500000, 312.939453125000000000,  ,  , 359828, 30.5, 1536
C, Fibonacci, 2,885.646057128906250000, 313.785034179687500000,  ,  , 359878, 30.2, 1536
C, Fibonacci, 3,688.622070312500000000, 317.866943359375000000,  ,  , 233081, 30.8, 1536
C, Fibonacci, 3,693.494873046875000000, 320.027526855468750000,  ,  , 234706, 31.2, 1536
C, Fibonacci, 3,674.837158203125000000, 311.534851074218750000,  ,  , 228390, 31.2, 1536
C, Fibonacci, 3,667.702758789062500000, 308.231811523437500000,  ,  , 225959, 31.0, 1536
