Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, Fibonacci, 1,820.674804687500000000, 365.490478515625000000,  ,  , 319523, 33.7, 11016
Python, Fibonacci, 1,827.068908691406250000, 370.913879394531250000,  ,  , 320604, 32.8, 11016
Python, Fibonacci, 1,824.352905273437500000, 369.462341308593750000,  ,  , 319957, 32.2, 10984
Python, Fibonacci, 1,822.445251464843750000, 368.678039550781250000,  ,  , 319485, 31.7, 10908
Python, Fibonacci, 1,823.425659179687500000, 368.221862792968750000,  ,  , 320847, 31.7, 11104
Python, Fibonacci, 1,815.368225097656250000, 360.353210449218750000,  ,  , 320824, 31.5, 11012
Python, Fibonacci, 1,814.514160156250000000, 359.890136718750000000,  ,  , 320353, 31.2, 11020
Python, Fibonacci, 1,812.653381347656250000, 359.028564453125000000,  ,  , 319947, 31.2, 10904
Python, Fibonacci, 1,802.688232421875000000, 349.177490234375000000,  ,  , 319720, 30.8, 10972
Python, Fibonacci, 1,824.148437500000000000, 369.065612792968750000,  ,  , 320605, 31.0, 10904
Python, Fibonacci, 2,819.466369628906250000, 364.136474609375000000,  ,  , 321055, 30.7, 10896
Python, Fibonacci, 2,824.880065917968750000, 371.963073730468750000,  ,  , 319680, 30.7, 11012
Python, Fibonacci, 2,811.055969238281250000, 357.784851074218750000,  ,  , 319622, 30.7, 10956
Python, Fibonacci, 2,805.986328125000000000, 351.325195312500000000,  ,  , 320623, 30.7, 11020
Python, Fibonacci, 2,804.939270019531250000, 350.779724121093750000,  ,  , 320205, 31.0, 10936
Python, Fibonacci, 2,806.980468750000000000, 352.954711914062500000,  ,  , 320108, 31.0, 11012
Python, Fibonacci, 2,808.936279296875000000, 355.338317871093750000,  ,  , 319811, 30.7, 10908
Python, Fibonacci, 2,817.512145996093750000, 362.672912597656250000,  ,  , 320724, 30.7, 11016
Python, Fibonacci, 2,818.341430664062500000, 363.071411132812500000,  ,  , 320854, 30.8, 10992
Python, Fibonacci, 2,811.701477050781250000, 358.477416992187500000,  ,  , 319403, 30.5, 11104
Python, Fibonacci, 3,704.891235351562500000, 365.932861328125000000,  ,  , 238743, 31.2, 10956
Python, Fibonacci, 3,706.044494628906250000, 367.033630371093750000,  ,  , 239093, 31.7, 10976
Python, Fibonacci, 3,696.799560546875000000, 362.050903320312500000,  ,  , 235998, 31.2, 11020
Python, Fibonacci, 3,699.648376464843750000, 363.817687988281250000,  ,  , 236887, 31.7, 10928
Python, Fibonacci, 3,688.260925292968750000, 357.574768066406250000,  ,  , 233099, 31.2, 10964
Python, Fibonacci, 3,697.882629394531250000, 362.435119628906250000,  ,  , 236351, 31.8, 10936
Python, Fibonacci, 3,669.021057128906250000, 347.257019042968750000,  ,  , 226524, 31.3, 11004
Python, Fibonacci, 3,672.288879394531250000, 349.464599609375000000,  ,  , 227654, 31.8, 10944
Python, Fibonacci, 3,671.650756835937500000, 348.927612304687500000,  ,  , 227424, 32.0, 10940
Python, Fibonacci, 3,692.932617187500000000, 360.029418945312500000,  ,  , 234621, 31.3, 10800
Python, Fibonacci, 4,651.492309570312500000, 417.770568847656250000,  ,  , 164481, 33.5, 10904
Python, Fibonacci, 4,643.901733398437500000, 412.482177734375000000,  ,  , 162876, 33.0, 10896
Python, Fibonacci, 4,656.070617675781250000, 420.243652343750000000,  ,  , 165964, 33.3, 10988
Python, Fibonacci, 4,651.948486328125000000, 417.653137207031250000,  ,  , 164911, 33.5, 10896
Python, Fibonacci, 4,656.679199218750000000, 420.809326171875000000,  ,  , 166113, 33.5, 11008
Python, Fibonacci, 4,664.616516113281250000, 425.998107910156250000,  ,  , 168134, 32.7, 11024
Python, Fibonacci, 4,651.101562500000000000, 417.228759765625000000,  ,  , 164698, 32.7, 11016
Python, Fibonacci, 4,651.188415527343750000, 417.338134765625000000,  ,  , 164727, 32.7, 11016
Python, Fibonacci, 4,660.728393554687500000, 423.191894531250000000,  ,  , 167139, 33.2, 10896
Python, Fibonacci, 4,661.333984375000000000, 423.299682617187500000,  ,  , 167296, 33.3, 11016
Python, Fibonacci, 5,666.950805664062500000, 476.076599121093750000,  ,  , 134267, 33.5, 11024
Python, Fibonacci, 5,661.397521972656250000, 471.511718750000000000,  ,  , 133531, 33.7, 11036
Python, Fibonacci, 5,655.837463378906250000, 467.597167968750000000,  ,  , 132389, 34.2, 11020
Python, Fibonacci, 5,660.594726562500000000, 470.799743652343750000,  ,  , 133349, 34.0, 11020
Python, Fibonacci, 5,649.531982421875000000, 462.921386718750000000,  ,  , 131123, 34.2, 11008
Python, Fibonacci, 5,655.322387695312500000, 466.866149902343750000,  ,  , 132289, 35.2, 10920
Python, Fibonacci, 5,657.572875976562500000, 468.651306152343750000,  ,  , 132733, 34.2, 11020
Python, Fibonacci, 5,654.771179199218750000, 466.609436035156250000,  ,  , 132174, 35.5, 10916
Python, Fibonacci, 5,644.022766113281250000, 459.065063476562500000,  ,  , 130000, 35.2, 11020
Python, Fibonacci, 5,644.698913574218750000, 459.466369628906250000,  ,  , 130143, 35.8, 10932
Python, Fibonacci, 6,668.570556640625000000, 509.087890625000000000,  ,  , 112046, 36.0, 11052
Python, Fibonacci, 6,665.292297363281250000, 505.983215332031250000,  ,  , 111656, 34.8, 10896
Python, Fibonacci, 6,675.250549316406250000, 513.511474609375000000,  ,  , 113398, 35.5, 11144
Python, Fibonacci, 6,672.103393554687500000, 511.281311035156250000,  ,  , 112863, 35.2, 10976
Python, Fibonacci, 6,670.027832031250000000, 509.645690917968750000,  ,  , 112531, 35.7, 11008
Python, Fibonacci, 6,670.761901855468750000, 510.293640136718750000,  ,  , 112649, 35.7, 10996
Python, Fibonacci, 6,670.477844238281250000, 510.101745605468750000,  ,  , 112594, 36.7, 11008
Python, Fibonacci, 6,672.296203613281250000, 511.280334472656250000,  ,  , 112901, 35.2, 10920
Python, Fibonacci, 6,672.295349121093750000, 511.607177734375000000,  ,  , 112901, 35.7, 11020
Python, Fibonacci, 6,671.983398437500000000, 510.974060058593750000,  ,  , 112859, 35.3, 11096
Python, Fibonacci, 7,701.372375488281250000, 557.806579589843750000,  ,  , 100678, 37.0, 10900
Python, Fibonacci, 7,696.955322265625000000, 554.332885742187500000,  ,  , 100055, 37.0, 11020
Python, Fibonacci, 7,694.720153808593750000, 552.290527343750000000,  ,  , 99923, 37.0, 11016
Python, Fibonacci, 7,696.493164062500000000, 553.737365722656250000,  ,  , 100133, 37.2, 11020
Python, Fibonacci, 7,702.176391601562500000, 558.212524414062500000,  ,  , 100949, 37.0, 11020
Python, Fibonacci, 7,701.347595214843750000, 558.527709960937500000,  ,  , 100833, 37.3, 11020
Python, Fibonacci, 7,699.374145507812500000, 556.305236816406250000,  ,  , 100548, 37.2, 11004
Python, Fibonacci, 7,703.194458007812500000, 559.038269042968750000,  ,  , 101097, 37.3, 11012
Python, Fibonacci, 7,697.806640625000000000, 555.645385742187500000,  ,  , 100324, 37.3, 11020
Python, Fibonacci, 7,697.563720703125000000, 554.670043945312500000,  ,  , 100285, 37.2, 10984
Python, Fibonacci, 8,742.569763183593750000, 610.020629882812500000,  ,  , 93218, 37.5, 11020
Python, Fibonacci, 8,737.937133789062500000, 606.743041992187500000,  ,  , 92635, 39.7, 10900
Python, Fibonacci, 8,738.129516601562500000, 606.406311035156250000,  ,  , 92764, 37.7, 10916
Python, Fibonacci, 8,725.518798828125000000, 596.294921875000000000,  ,  , 91181, 38.0, 10924
Python, Fibonacci, 8,737.145690917968750000, 605.776184082031250000,  ,  , 92651, 39.8, 11020
Python, Fibonacci, 8,725.979736328125000000, 596.599548339843750000,  ,  , 91249, 38.0, 11112
Python, Fibonacci, 8,720.660644531250000000, 592.231628417968750000,  ,  , 90582, 37.8, 10976
Python, Fibonacci, 8,718.460571289062500000, 590.032226562500000000,  ,  , 90288, 37.7, 11012
Python, Fibonacci, 8,725.039550781250000000, 595.230773925781250000,  ,  , 91124, 37.5, 10924
Python, Fibonacci, 8,726.218383789062500000, 596.308959960937500000,  ,  , 91251, 37.7, 11044
Python, Fibonacci, 9,772.413208007812500000, 650.537597656250000000,  ,  , 86155, 41.0, 11020
Python, Fibonacci, 9,769.308593750000000000, 647.922485351562500000,  ,  , 85808, 38.5, 11016
Python, Fibonacci, 9,771.094421386718750000, 649.351013183593750000,  ,  , 86052, 39.0, 10896
