Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Java, avrora, -1,242.393249511718750000, 232.935241699218750000,  ,  , 6049, 57.7, 110164
Java, avrora, -1,243.823425292968750000, 234.281982421875000000,  ,  , 6090, 60.2, 110856
Java, avrora, -1,242.916564941406250000, 233.357299804687500000,  ,  , 6109, 58.2, 108132
Java, avrora, -1,243.326721191406250000, 233.824707031250000000,  ,  , 6081, 59.2, 112444
Java, avrora, -1,242.645690917968750000, 233.269775390625000000,  ,  , 5972, 61.3, 111736
Java, avrora, -1,241.636718750000000000, 232.303283691406250000,  ,  , 5981, 62.8, 107288
Java, avrora, -1,243.806335449218750000, 234.316223144531250000,  ,  , 6071, 63.5, 107920
Java, avrora, -1,242.443969726562500000, 232.861450195312500000,  ,  , 6151, 61.8, 110276
Java, avrora, -1,241.900634765625000000, 232.453308105468750000,  ,  , 6035, 62.8, 111308
Java, avrora, -1,243.778076171875000000, 234.180297851562500000,  ,  , 6155, 65.5, 105348
Java, batik, -1,132.431762695312500000, 126.473327636718750000,  ,  , 3419, 57.3, 442336
Java, batik, -1,132.229187011718750000, 126.139099121093750000,  ,  , 3468, 57.2, 424604
Java, batik, -1,123.060546875000000000, 117.021423339843750000,  ,  , 3501, 59.2, 442400
Java, batik, -1,129.961486816406250000, 123.874816894531250000,  ,  , 3508, 58.0, 435548
Java, batik, -1,131.800781250000000000, 125.757385253906250000,  ,  , 3471, 56.7, 427120
Java, batik, -1,125.873535156250000000, 119.793457031250000000,  ,  , 3497, 55.8, 391152
Java, batik, -1,133.801086425781250000, 127.733398437500000000,  ,  , 3459, 55.8, 440760
Java, batik, -1,124.807495117187500000, 118.782043457031250000,  ,  , 3481, 59.0, 437864
Java, batik, -1,125.716796875000000000, 119.687377929687500000,  ,  , 3474, 56.7, 458404
Java, batik, -1,125.960266113281250000, 119.847351074218750000,  ,  , 3537, 59.8, 408200
Java, biojava, -1,233.430969238281250000, 217.792297363281250000,  ,  , 9131, 57.0, 760384
Java, biojava, -1,255.524719238281250000, 239.813049316406250000,  ,  , 9211, 57.3, 753740
Java, biojava, -1,257.951477050781250000, 242.657043457031250000,  ,  , 8940, 56.7, 765764
Java, biojava, -1,254.948730468750000000, 240.045837402343750000,  ,  , 8622, 55.7, 730372
Java, biojava, -1,264.350769042968750000, 249.054077148437500000,  ,  , 8880, 55.8, 784964
Java, biojava, -1,235.387268066406250000, 219.711975097656250000,  ,  , 9167, 59.7, 808160
Java, biojava, -1,245.721984863281250000, 229.891296386718750000,  ,  , 9299, 55.8, 734488
Java, biojava, -1,227.180847167968750000, 211.084045410156250000,  ,  , 9528, 58.2, 754804
Java, biojava, -1,234.763183593750000000, 219.017395019531250000,  ,  , 9257, 57.3, 776036
Java, biojava, -1,249.614074707031250000, 234.042114257812500000,  ,  , 9130, 55.8, 747104
