Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python, chameleon, 4,58.075866699218750000, 34.538879394531250000,  ,  , 30154, 31.2, 43228
Python, chameleon, 4,53.080993652343750000, 36.383850097656250000,  ,  , 20321, 31.8, 43224
Python, chameleon, 4,96.634094238281250000, 76.892272949218750000,  ,  , 24339, 32.2, 43236
Python, chameleon, 4,96.620788574218750000, 77.154541015625000000,  ,  , 24342, 32.6, 43228
Python, chameleon, 4,96.312194824218750000, 76.689086914062500000,  ,  , 24264, 32.5, 43228
Python, chameleon, 4,96.440246582031250000, 76.661010742187500000,  ,  , 24296, 32.4, 43232
Python, chameleon, 4,97.037170410156250000, 77.008300781250000000,  ,  , 24443, 32.2, 43228
Python, chameleon, 4,97.055175781250000000, 77.370361328125000000,  ,  , 24453, 32.4, 43104
Python, chameleon, 4,96.984191894531250000, 76.956115722656250000,  ,  , 24428, 33.1, 43100
Python, chameleon, 4,96.318725585937500000, 76.785949707031250000,  ,  , 24265, 32.9, 43236
Python, docutils, 4,1377.335144042968750000, 1107.380798339843750000,  ,  , 348459, 32.8, 58160
Python, docutils, 4,1382.044555664062500000, 1113.417297363281250000,  ,  , 349666, 32.0, 58232
Python, docutils, 4,1376.917602539062500000, 1111.634216308593750000,  ,  , 348355, 31.9, 58112
Python, docutils, 4,1376.411071777343750000, 1112.700805664062500000,  ,  , 348202, 32.0, 58104
Python, docutils, 4,1372.509033203125000000, 1112.228820800781250000,  ,  , 347214, 31.5, 58112
Python, docutils, 4,1359.232849121093750000, 1100.917907714843750000,  ,  , 343900, 31.9, 58032
Python, docutils, 4,1373.021423339843750000, 1105.259155273437500000,  ,  , 347371, 31.4, 58112
Python, docutils, 4,1372.211425781250000000, 1106.558166503906250000,  ,  , 347142, 31.4, 58064
Python, docutils, 4,1373.314514160156250000, 1108.790405273437500000,  ,  , 347473, 31.9, 58104
Python, docutils, 4,1373.699340820312500000, 1116.293395996093750000,  ,  , 347493, 31.0, 58112
Python, html5lib, 4,93.706481933593750000, 75.030395507812500000,  ,  , 23604, 30.8, 43092
Python, html5lib, 4,59.472961425781250000, 47.258300781250000000,  ,  , 14979, 30.9, 43232
Python, html5lib, 4,59.398681640625000000, 47.127990722656250000,  ,  , 14960, 30.4, 43356
Python, html5lib, 4,59.228027343750000000, 46.869506835937500000,  ,  , 14921, 31.2, 43364
Python, html5lib, 4,93.951416015625000000, 75.236022949218750000,  ,  , 23668, 31.1, 43360
Python, html5lib, 4,93.743652343750000000, 75.107177734375000000,  ,  , 23619, 31.1, 43364
Python, html5lib, 4,59.646606445312500000, 47.089904785156250000,  ,  , 15025, 31.2, 43364
Python, html5lib, 4,59.518493652343750000, 47.151977539062500000,  ,  , 14991, 31.2, 43364
Python, html5lib, 4,59.340087890625000000, 47.224914550781250000,  ,  , 14947, 31.0, 43360
Python, html5lib, 4,59.207641601562500000, 47.000427246093750000,  ,  , 14917, 31.2, 43228
Python, deepcopy, 4,199.572692871093750000, 162.162658691406250000,  ,  , 50285, 31.0, 43228
Python, deepcopy, 4,199.743286132812500000, 162.240722656250000000,  ,  , 50329, 31.5, 43100
Python, deepcopy, 4,199.698791503906250000, 161.939880371093750000,  ,  , 50320, 31.5, 43224
Python, deepcopy, 4,200.977478027343750000, 162.407043457031250000,  ,  , 50639, 31.0, 43352
Python, deepcopy, 4,200.158691406250000000, 161.833312988281250000,  ,  , 50435, 31.1, 43224
Python, deepcopy, 4,200.261169433593750000, 162.263671875000000000,  ,  , 50458, 31.2, 43228
Python, deepcopy, 4,197.324768066406250000, 159.724914550781250000,  ,  , 49985, 31.4, 43228
