Language,Program,PowerLimit,Package,Core,GPU,DRAM,Time,Temperature,Memory
Python36, chameleon, -1,152.581359863281250000, 103.898071289062500000,  ,  , 21116, 34.7, 45664
Python36, chameleon, -1,153.161560058593750000, 103.377258300781250000,  ,  , 21169, 35.8, 45416
Python36, chameleon, -1,154.081665039062500000, 103.039306640625000000,  ,  , 21272, 36.9, 45664
Python36, chameleon, -1,150.564575195312500000, 102.911193847656250000,  ,  , 21054, 37.5, 45412
Python36, chameleon, -1,153.234558105468750000, 102.084777832031250000,  ,  , 21405, 37.6, 45232
Python36, chameleon, -1,154.264221191406250000, 102.276184082031250000,  ,  , 21183, 38.8, 45660
Python36, chameleon, -1,149.116149902343750000, 102.806213378906250000,  ,  , 21126, 39.6, 45236
Python36, chameleon, -1,151.739685058593750000, 102.501647949218750000,  ,  , 21234, 39.6, 45432
Python36, chameleon, -1,151.603271484375000000, 101.716979980468750000,  ,  , 21368, 39.5, 45340
Python36, chameleon, -1,151.044982910156250000, 101.857421875000000000,  ,  , 21311, 40.0, 45380
Python36, chameleon, -1,151.472045898437500000, 101.955749511718750000,  ,  , 21222, 41.6, 45652
Python36, chameleon, -1,154.085815429687500000, 102.245239257812500000,  ,  , 21369, 43.3, 45788
Python36, chameleon, -1,153.159423828125000000, 101.544982910156250000,  ,  , 21252, 43.1, 45552
Python36, chameleon, -1,151.052246093750000000, 101.677734375000000000,  ,  , 21110, 41.1, 45284
Python36, chameleon, -1,151.865844726562500000, 101.527832031250000000,  ,  , 21150, 41.6, 45548
Python36, chameleon, -1,152.365173339843750000, 101.283874511718750000,  ,  , 21398, 42.2, 45688
Python36, chameleon, -1,150.638244628906250000, 102.051879882812500000,  ,  , 21239, 43.2, 45528
Python36, chameleon, -1,153.215026855468750000, 101.297241210937500000,  ,  , 21394, 42.9, 45772
Python36, chameleon, -1,153.063476562500000000, 101.004821777343750000,  ,  , 21331, 42.6, 45624
Python36, chameleon, -1,150.473693847656250000, 101.463195800781250000,  ,  , 21193, 40.9, 45664
Python36, docutils, -1,2327.600585937500000000, 1522.585510253906250000,  ,  , 337287, 43.0, 70900
Python36, docutils, -1,2338.913818359375000000, 1510.332702636718750000,  ,  , 340803, 41.7, 71088
Python36, docutils, -1,2349.421447753906250000, 1531.967407226562500000,  ,  , 335377, 43.1, 70928
Python36, docutils, -1,2339.906372070312500000, 1519.638366699218750000,  ,  , 338498, 43.6, 71348
Python36, docutils, -1,2347.700683593750000000, 1528.537414550781250000,  ,  , 336124, 42.6, 70916
Python36, docutils, -1,2344.433654785156250000, 1531.677185058593750000,  ,  , 334948, 43.6, 70880
Python36, docutils, -1,2337.367980957031250000, 1526.058593750000000000,  ,  , 336555, 43.1, 70888
Python36, docutils, -1,2413.303161621093750000, 1556.424804687500000000,  ,  , 343917, 42.7, 71368
Python36, docutils, -1,2336.679870605468750000, 1525.184570312500000000,  ,  , 337068, 41.8, 71444
Python36, docutils, -1,2351.091918945312500000, 1535.404479980468750000,  ,  , 334392, 42.8, 71172
Python36, html5lib, -1,162.525817871093750000, 105.057922363281250000,  ,  , 23085, 43.1, 45716
Python36, html5lib, -1,107.472595214843750000, 67.583251953125000000,  ,  , 15012, 42.1, 45632
Python36, html5lib, -1,165.733642578125000000, 108.303649902343750000,  ,  , 23352, 41.6, 45824
Python36, html5lib, -1,161.754394531250000000, 105.740844726562500000,  ,  , 22981, 42.0, 45668
Python36, html5lib, -1,98.064819335937500000, 63.654907226562500000,  ,  , 14025, 42.4, 45688
Python36, html5lib, -1,99.606506347656250000, 63.743713378906250000,  ,  , 14157, 43.1, 45684
Python36, html5lib, -1,99.793334960937500000, 63.720947265625000000,  ,  , 14092, 41.5, 45816
Python36, html5lib, -1,161.232666015625000000, 105.372558593750000000,  ,  , 22986, 40.8, 45932
Python36, html5lib, -1,98.852600097656250000, 63.759033203125000000,  ,  , 14080, 41.1, 45848
Python36, html5lib, -1,160.567199707031250000, 105.415832519531250000,  ,  , 22899, 42.6, 45812
Python36, 2to3, -1,298.853454589843750000, 194.375549316406250000,  ,  , 41975, 41.6, 45656
Python36, 2to3, -1,292.823608398437500000, 194.122619628906250000,  ,  , 41740, 42.4, 45660
Python36, 2to3, -1,299.533630371093750000, 194.338684082031250000,  ,  , 42078, 42.0, 45596
Python36, 2to3, -1,294.061767578125000000, 194.643859863281250000,  ,  , 41729, 43.1, 45592
Python36, 2to3, -1,297.669616699218750000, 195.020324707031250000,  ,  , 41899, 41.6, 45824
Python36, 2to3, -1,293.794799804687500000, 194.751342773437500000,  ,  , 41790, 43.0, 45816
Python36, 2to3, -1,301.770385742187500000, 195.147277832031250000,  ,  , 42114, 41.7, 45860
Python36, 2to3, -1,294.887878417968750000, 195.103820800781250000,  ,  , 41768, 42.9, 45372
Python36, 2to3, -1,300.331115722656250000, 195.569458007812500000,  ,  , 41943, 40.9, 45660
Python36, 2to3, -1,294.857421875000000000, 195.480834960937500000,  ,  , 41674, 42.3, 45532
Python36, tornado_http, -1,160.612365722656250000, 103.202758789062500000,  ,  , 22807, 40.8, 45580
Python36, tornado_http, -1,161.319885253906250000, 104.066162109375000000,  ,  , 22992, 41.7, 45624
Python36, tornado_http, -1,161.005371093750000000, 103.516357421875000000,  ,  , 22866, 42.9, 45524
Python36, tornado_http, -1,157.538635253906250000, 103.195739746093750000,  ,  , 22606, 43.1, 45564
Python36, tornado_http, -1,160.381652832031250000, 103.966308593750000000,  ,  , 23060, 40.4, 45632
Python36, tornado_http, -1,160.333801269531250000, 103.888977050781250000,  ,  , 22999, 40.9, 45820
Python36, tornado_http, -1,157.282470703125000000, 103.437133789062500000,  ,  , 22669, 42.4, 45604
Python36, tornado_http, -1,161.304748535156250000, 103.820373535156250000,  ,  , 22880, 43.0, 45560
Python36, tornado_http, -1,159.427062988281250000, 103.095031738281250000,  ,  , 22818, 41.5, 45648
Python36, tornado_http, -1,157.224548339843750000, 103.576721191406250000,  ,  , 22839, 42.1, 45800
Python36, nbody, -1,123.367370605468750000, 83.606445312500000000,  ,  , 17251, 43.6, 45832
Python36, nbody, -1,123.503540039062500000, 83.374938964843750000,  ,  , 17187, 44.0, 45464
